,rating,date,variation,verified_reviews,feedback
0,positive,31-Jul-18,Charcoal Fabric ,love echo ,1
1,positive,31-Jul-18,Charcoal Fabric ,loved ,1
2,positive,31-Jul-18,Walnut Finish ,sometimes playing game  answer question correctly alexa says got wrong answers   like able turn lights away home ,1
3,positive,31-Jul-18,Charcoal Fabric ,lot fun thing  4 yr old learns dinosaurs  control lights play games like categories  nice sound playing music well ,1
4,positive,31-Jul-18,Charcoal Fabric ,music,1
5,positive,31-Jul-18,Heather Gray Fabric ,received echo gift  needed another bluetooth something play music easily accessible  found smart speaker  can’t wait see else ,1
6,neutral,31-Jul-18,Sandstone Fabric ,without cellphone  cannot use many features  ipad see use   great alarm   u r almost deaf  hear alarm bedroom living room  reason enough keep fun ask random questions hear response   seem smartbon politics yet ,1
7,positive,31-Jul-18,Charcoal Fabric ,think 5th one i've purchased  i'm working getting one every room house  really like features offer specifily playing music echos controlling lights throughout house ,1
8,positive,30-Jul-18,Heather Gray Fabric ,looks great,1
9,positive,30-Jul-18,Heather Gray Fabric ,love  i’ve listened songs haven’t heard since childhood  get news  weather  information  it’s great ,1
10,positive,30-Jul-18,Charcoal Fabric ,sent 85 year old dad  talks constantly ,1
11,positive,30-Jul-18,Charcoal Fabric ,love  learning knew things eveyday  still figuring everything works far easy use understand  make laugh times,1
12,positive,30-Jul-18,Oak Finish ,purchased mother knee problems  give something trying come getting around fast like enjoys little big things alexa play song  time  cook ,1
13,positive,30-Jul-18,Charcoal Fabric ,love  love  love ,1
14,positive,30-Jul-18,Oak Finish ,expected ,1
15,positive,30-Jul-18,Heather Gray Fabric ,love  wife hates ,1
16,positive,30-Jul-18,Heather Gray Fabric ,really happy purchase   great speaker easy set ,1
17,positive,30-Jul-18,Heather Gray Fabric ,using alexa couple days lot fun new toy  like new household member  trying learn different featues benefits come ,1
18,positive,30-Jul-18,Charcoal Fabric ,love size 2nd generation echo  still needs little improvement sound,1
19,positive,30-Jul-18,Sandstone Fabric ,liked original echo  shorter greater fabric color choices  miss volume ring top  plus minus buttons  big deal ring w comforting     well like use standard usb charger  port instead previous round pin   guess sounds  seems work  still answers alexa echo computer  what's like   ,1
